Question,Departments (separated by /),Subcategory,Critical,type,Category,Spalte2
"Kennen die Mitarbeitenden die Hygienerichtlinien (Hygieneordner) und wissen, wo dieser verfügbar ist?",OP If / I / A,Schulungen,FALSE,Frage Personal,Schulungen,
Werden Mitarbeitende  zu einem relevanten Thema der Infektionsprävention geschult (Besteht ein Schulungskonzept)?,OP If / I / A,Schulungen,FALSE,Frage Personal,Schulungen,
Ist das E-Learning Angebot der Spitalhygiene für neue Mitarbeitende bekannt und wird dies den Mitarbeitenden empfohlen?,OP If / I / A,Schulungen,FALSE,Frage Personal,Schulungen,
"Wird nach vorne fallendes halblanges oder langes Haar sowie lange Barthaare zusammen- oder hochgebunden, bzw. hochgesteckt?",A / I ,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
Werden Fingernägel kurz und ohne Nagellack gehalten und keine künstlichen Nägel/Gelnägel getragen?,A / I ,Arbeitshygiene ,TRUE,Beobachtung,Standardhygienemassnahmen,
"Es wird kein Schmuck (Schmuckringe, Eheringe, Armbänder, Uhren) bei Patientenkontakt, sowie bei aseptischen Handlungen und bei Aufbereitung und Entsorgung von Materialien an Händen/Unterarmen getragen?",A / I ,Arbeitshygiene ,TRUE,Beobachtung,Standardhygienemassnahmen,
Halsketten und Halsschlüsselbänder hängen nicht über die Berufskleidung?,A / I / OP In,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
"Sind bei direktem Patientenkontakt, bei aseptischen Handlungen sowie bei Aufbereitung und Entsorgung von Materialien die Unterarme frei?",A / I ,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
Wird die Berufskleidung täglich oder sichtbar verschmutzte zeitnah gewechselt?,A / I ,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
Wird die OP Bereichskleidung nach Empfehlung aus dem Hygieneordner getragen? ,OP In,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
"Sind alle Kopf-, inkl. Barthaaren, Bänder und Stoffhauben mit Einweghauben abgedeckt?",OP In,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
Sind die Hände und Unterarme frei vom Handschmuck?,OP In,Arbeitshygiene ,TRUE,Beobachtung,Standardhygienemassnahmen,
Wird hängender Schmuck / Ohrschmuck abgezogen oder komplett abgedeckt?,OP In,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
Werden die Wärmejacken geschlossen getragen und bei Indikation zur Händehygiene die Ärmel hochgeschoben?,OP In,Arbeitshygiene ,FALSE,Beobachtung,Standardhygienemassnahmen,
"Besteht ein Reinigungs- und Desinfektionsplan, welcher die Aufbereitungsart, Intervall und Verantwortlichkeit von Räumlichkeiten und Geräten/Wagen/Mobiliar regelt?",OP If / I / A,Reinigung und Desinfektion von Flächen,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,4
"Werden Workstation on Wheel (WOW) bzw. Lean-Wagen/PC nach jeder Patientin/jedem Patienten wischdesinfiziert (Tastatur, Maus, Arbeitsoberfläche, Barcodescanner o.a. falls benutzt)?",I / A,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
"Ist die Wischdesinfektion von Workstation on Wheel (WOW) bzw. Lean-Wagen/PC  (Tastatur, Maus, Arbeitsoberfläche, Barcodescanner o.a. falls benutzt) geregelt?",I / A,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Werden Untersuchungsliegen und für den Patientenprozess genutzte Arbeitsflächen nach Gebrauch wischdesinfiziert?,I / A,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
"Werden medizinische Geräte nach Gebrauch wischdesinfiziert (Ultraschall, Echo, Stethoskop, usw.)?",I / A,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Werden Haltbarkeitsfristen bei Flächendesinfektionsmitteln nach Anbruch mit entsprechender Kennzeichnung versehen und eingehalten?,OP If / I / A,Reinigung und Desinfektion von Flächen,TRUE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Werden beim Umgang mit Desinfektionsmittellösungen die Personalschutzmassnahmen eingehalten?,OP If,Reinigung und Desinfektion von Flächen,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,5
Werden Mehrwegmaterialien nach Vorgaben des Herstellers und aus dem Hygieneordner aufbereitet?                     ,OP If / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,
"Erfolgt die Aufbereitung und Lagerung von flexiblen Endoskopen nach Herstellerangaben und der schweizerischen Richtlinie ""Gute Praxis""?",OP If / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,
Erfolgt die Aufbereitung und Lagerung von TEE- Sonden nach Herstellerangaben? ,OP If,Aufbereitung von Instrumenten und Utensilien,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,
Wird eine chirurgische Maske getragen (ausführende und assistierende Person)? (Risikogruppe 4),OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Gibt es ein Waschbecken / definierten Bereich für die Durchführung?,OP If / I,Chirurgische Händedesinfektion,FALSE,Beobachtung,Infrastruktur,
Ist im Waschbereich eine Uhr vorhanden?,OP If / I,Chirurgische Händedesinfektion,FALSE,Beobachtung,Infrastruktur,
Sind schriftliche Anweisungen für die Durchführung im Waschbereich vorhanden?,OP If / I,Chirurgische Händedesinfektion,FALSE,Beobachtung,Infrastruktur,
Ist die Reinigung der Händedesinfektionsmittelspender geregelt?,OP If / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Frage Personal,Aufbereitung/Desinfektion/Reinigung,
Ist die Einwirkzeit für die chirurgische Händedesinfektion bekannt und wird diese eingehalten?,OP In / I,Chirurgische Händedesinfektion,FALSE,Beobachtung,Standardhygienemassnahmen,
Wird eine chir. Händedesinfektion unmittelbar vor dem operativen Eingriff (vor sterilem Ankleiden) durchgeführt?,OP In,Chirurgische Händedesinfektion,FALSE,Beobachtung,Standardhygienemassnahmen,
Wird die chir. Händedesinfektion im Waschraum oder in einem dafür vorgesehenen Bereich durchgeführt?,OP In,Chirurgische Händedesinfektion,FALSE,Beobachtung,Standardhygienemassnahmen,
"Sind verschiedene chir. Masken (Anti-Fog, Sensitiv, mit Protekt-Schild) vorhanden?",OP If,Schutzausrüstung / Kontakt mit Körperflüssigkeiten infra.,TRUE,Beobachtung,Infrastruktur,
Stehen Hochleistungsmasken FFP2 ohne Ventil zur Verfügung und sind die Indikationen zum Tragen bekannt?,OP If / I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten infra.,TRUE,Beobachtung,Infrastruktur,
Entsprechen die Standorte der Händedesinfektionsmittelspender den Mindestanforderungen im Sinne der Weisung Standard Händedesinfektionsmittelspender?,OP In / I / A,Händehygiene,FALSE,Beobachtung,Infrastruktur,
Sind die Indikationen der hygienischen Händedesinfektion nach WHO bekannt?,A / I ,Händehygiene,TRUE,Beobachtung,Standardhygienemassnahmen,
Sind die Indikationen zum Waschen der Hände bekannt?,A / I ,Händehygiene,FALSE,Beobachtung,Standardhygienemassnahmen,
Stehen Hautschutz- / Hautpflegeprodukte zur Verfügung?,A / I / OP If,Händehygiene,FALSE,Beobachtung,Infrastruktur,
Wird eine chirurgische Maske getragen? (Risikogruppe 2a),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Hygienische Händedesinfektion: Werden die Indikationen gemäss WHO oder bei Einsatz des Berner 3-Zonen-Modells eingehalten?,OP In,Händehygiene,TRUE,Beobachtung,Standardhygienemassnahmen,
"Besteht die Möglichkeit, Hände und Unterarme vor der chir. Händedesinfektion mit normaler Seife zu waschen?",OP If,Händehygiene,FALSE,Beobachtung,Infrastruktur,
Sind Einwegbürsten und Nagelscheren für die Nagelpflege in der Garderobe bei den Waschbecken vorhanden?,OP If,Händehygiene,FALSE,Beobachtung,Infrastruktur,
Sind manuell bedienbare Wasserarmaturen vorhanden?,OP If,Händehygiene,FALSE,Beobachtung,Infrastruktur,
"Ist der Wasserstrahl nicht in den Abfluss gerichtet, sowie hat das Waschbecken keinen Überlauf?",OP If,Händehygiene,FALSE,Beobachtung,Infrastruktur,
Wird eine chirurgische Maske getragen? (Risikogruppe 2b),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Nadeln/scharfe Gegenstände in spezielle Behälter (Sharpsafebox) entsorgt sowie sind Behälter nicht überfüllt?,OP In / I / A,Prävention Stich-Schnittverletzungen ,FALSE,Beobachtung,Standardhygienemassnahmen,
Es wird kein Recapping durchgeführt?,OP In / I / A,Prävention Stich-Schnittverletzungen ,FALSE,Beobachtung,Standardhygienemassnahmen,
Sind die Sofortmassnahmen bei Stich- und Schnittverletzungen bekannt?,OP In / I / A,Prävention Stich-Schnittverletzungen ,FALSE,Frage Personal,Standardhygienemassnahmen,
Sind chirurgische Masken vorhanden und sind die Indikationen zum Tragen sowie die Kriterien zum Wechsel bekannt?,I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,TRUE,Beobachtung,Standardhygienemassnahmen,
Werden die chirurgische Masken satt anliegend getragen und sind Nase und Mund abgedeckt?,OP In /I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,FALSE,Beobachtung,Standardhygienemassnahmen,
Sind unsterile Überschürze vorhanden und sind Kriterien zum Tragen und zum  Wechsel bekannt?,OP If / I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,FALSE,Beobachtung,Standardhygienemassnahmen,
Stehen Schutzbrillen zur Verfügung und sind die Indikationen zum Tragen bekannt? ,OP If / I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,FALSE,Beobachtung,Standardhygienemassnahmen,
Sind unsterile Handschuhe vorhanden und ist die Indikation zum Tragen bekannt? ,OP If / I / A,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,FALSE,Beobachtung,Standardhygienemassnahmen,
Ist die Aufbereitung der Schutzbrillen geregelt?,OP If,Schutzausrüstung / Kontakt mit Körperflüssigkeiten ,FALSE,Frage Personal,Standardhygienemassnahmen,
Werden vor dem Richten von sterilen Materialien / Infusions- und Injektionslösungen die Instrumentiertische/Flächen wischdesinfiziert?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Erfolgt das sterile Ankleiden nach geschlossener Methode?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden die sterile Verpackungen vor dem Öffnen auf Unversehrtheit und Sterilität geprüft?,OP In / I,Aseptisches Arbeiten,TRUE,Beobachtung,Aseptisches Arbeiten,
Wird das Sterilgut angereicht und nicht gespickt?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Wird kleines Sterilgut mit einer sterilen Klemme entgegengenommen?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Erfolgt beim Abgeben und Fixieren der sterilen Abdeckung durch unsteriles Personal keine Kontamination?,OP In / I,Aseptisches Arbeiten,TRUE,Beobachtung,Aseptisches Arbeiten,
"Sind die bei der Operation benötigte Geräte, welche den notwendigen Abstand nicht einhalten können, korrekt steril abgedeckt?",OP In,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Erfolgt ein Platzwechsel Rücken zu Rücken oder Bauch zu Bauch?,OP In,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden die sterilen Flächen nicht mit unsterilen Gegenständen übergriffen?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Wird bei einer Kontamination angepasst reagiert?,OP In / I,Aseptisches Arbeiten,TRUE,Beobachtung,Aseptisches Arbeiten,
Werden doppelte Handschuhe bei Operationen mit starker Beanspruchung vom gesamten OP-Team getragen?,OP In,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden die Handschuhe vor der Vorbereitung und Implantation von Gelenkendoprothesen gewechselt?,OP In,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Finden während des Eingriffes keine Routinereinigungsarbeiten statt?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
"Werden Flüssigkeiten steril angereicht/entleert (genug Abstand, langsames Giessen ohne Spritzer, nicht über die sterile Fläche)?",OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden die Gespräche auf ein Minimum reduziert?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
"Werden Störungen, Lärm und Unruhe vermieden?",OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden private Gegenstände nicht in den OP Saal / Interventionsraum genommen?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Erfolgt die Konsumation von Lebensmitteln ausschliesslich im Aufenthaltsraum?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Werden Türen während des Eingriffs möglichst geschlossen gehalten?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Wird ein Mindestabstand von 50cm zur sterilen Flächen und umgekehrt eingehalten?,OP In / I,Aseptisches Arbeiten,FALSE,Beobachtung,Aseptisches Arbeiten,
Findet Instandhaltung von Lüftungs- und Klimaanlagen periodisch statt?,OP If ,Wartung,FALSE,Frage Personal,Infrastruktur,
Werden die Reinigungs- und Desinfektionsgeräte (RDG) jährlich validiert?,OP If ,Wartung,TRUE,Frage Personal,Infrastruktur,
Sind empfohlene Massnahmen aus früheren spitalhygienischen Begehungen umgesetzt worden?,OP In / I / A,Weitere Beobachtungen,TRUE,Frage Personal,Weitere Beobachtungen,
"Wird eine grossflächige Hautdesinfektion mittels steriler Klemme oder Pinzette sowie aus dem Hygieneordner empfohlene Hautdesinfektionsmittel verwendet und eine mechanische Desinfektion durchgeführt, sowie die entsprechende Einwirkzeit nach Herstellerangaben eingehalten? (Risikogruppe 2b)",OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Werden die Indikationen der Händehygiene während des Verbandwechsels eingehalten? ,A,Wundverbände,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Erfolgt der Umgang mit Wundauflagen mit der Non-Touch-Technik (Verwendung sterile Instrumente oder sterile Handschuhe)? ,A,Wundverbände,TRUE,Beobachtung,Patientenbezogene Massnahmen,
"Wird eine grossflächige Hautdesinfektion mittels steriler Klemme oder Pinzette sowie aus dem Hygieneordner empfohlene Hautdesinfektionsmittel verwendet und eine mechanische Desinfektion durchgeführt, sowie die entsprechende Einwirkzeit nach Herstellerangaben eingehalten? (Risikogruppe 3)",OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),TRUE,Beobachtung,Patientenbezogene Massnahmen,
,,,,,,
,,,,,,
